Country Name,Country Code,Series Name,Series Code,Net Migration,,,,,,,,
Haiti,HTI,Net migration,SM.POP.NETM,-34635,,,,,,,,
Honduras,HND,Net migration,SM.POP.NETM,-6550,,,,,,,,
Hungary,HUN,Net migration,SM.POP.NETM,33559,,,,,,,,
Iceland,ISL,Net migration,SM.POP.NETM,5152,,,,,,,,
India,IND,Net migration,SM.POP.NETM,-593495,,,,,,,,
Indonesia,IDN,Net migration,SM.POP.NETM,-40567,,,,,,,,
"Iran, Islamic Rep.",IRN,Net migration,SM.POP.NETM,-34571,,,,,,,,
Iraq,IRQ,Net migration,SM.POP.NETM,-29880,,,,,,,,
Ireland,IRL,Net migration,SM.POP.NETM,29113,,,,,,,,
Isle of Man,IMN,Net migration,SM.POP.NETM,239,,,,,,,,
Israel,ISR,Net migration,SM.POP.NETM,16132,,,,,,,,
Italy,ITA,Net migration,SM.POP.NETM,21615,,,,,,,,
Jamaica,JAM,Net migration,SM.POP.NETM,-11329,,,,,,,,
Japan,JPN,Net migration,SM.POP.NETM,183953,,,,,,,,
Jordan,JOR,Net migration,SM.POP.NETM,28963,,,,,,,,
Kazakhstan,KAZ,Net migration,SM.POP.NETM,-37080,,,,,,,,
Kenya,KEN,Net migration,SM.POP.NETM,-61946,,,,,,,,
Kiribati,KIR,Net migration,SM.POP.NETM,-691,,,,,,,,
"Korea, Dem. People's Rep.",PRK,Net migration,SM.POP.NETM,-3139,,,,,,,,
"Korea, Rep.",KOR,Net migration,SM.POP.NETM,110799,,,,,,,,
Kosovo,XKX,Net migration,SM.POP.NETM,-33469,,,,,,,,
Kuwait,KWT,Net migration,SM.POP.NETM,9088,,,,,,,,
Kyrgyz Republic,KGZ,Net migration,SM.POP.NETM,-34270,,,,,,,,
Lao PDR,LAO,Net migration,SM.POP.NETM,-10303,,,,,,,,
Latvia,LVA,Net migration,SM.POP.NETM,-7903,,,,,,,,
Lebanon,LBN,Net migration,SM.POP.NETM,-237572,,,,,,,,
Lesotho,LSO,Net migration,SM.POP.NETM,-2989,,,,,,,,
Liberia,LBR,Net migration,SM.POP.NETM,-19697,,,,,,,,
Libya,LBY,Net migration,SM.POP.NETM,-1352,,,,,,,,
Liechtenstein,LIE,Net migration,SM.POP.NETM,178,,,,,,,,
Lithuania,LTU,Net migration,SM.POP.NETM,-13398,,,,,,,,
Luxembourg,LUX,Net migration,SM.POP.NETM,10365,,,,,,,,
Madagascar,MDG,Net migration,SM.POP.NETM,-1487,,,,,,,,
Malawi,MWI,Net migration,SM.POP.NETM,-2228,,,,,,,,
Malaysia,MYS,Net migration,SM.POP.NETM,60824,,,,,,,,
Maldives,MDV,Net migration,SM.POP.NETM,6690,,,,,,,,
Mali,MLI,Net migration,SM.POP.NETM,-44428,,,,,,,,
Malta,MLT,Net migration,SM.POP.NETM,11247,,,,,,,,
Marshall Islands,MHL,Net migration,SM.POP.NETM,-1901,,,,,,,,
Mauritania,MRT,Net migration,SM.POP.NETM,-3018,,,,,,,,
Mauritius,MUS,Net migration,SM.POP.NETM,-1034,,,,,,,,
Mexico,MEX,Net migration,SM.POP.NETM,-47764,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Net migration,SM.POP.NETM,-1283,,,,,,,,
Moldova,MDA,Net migration,SM.POP.NETM,-28328,,,,,,,,
Monaco,MCO,Net migration,SM.POP.NETM,416,,,,,,,,
Mongolia,MNG,Net migration,SM.POP.NETM,10664,,,,,,,,
Montenegro,MNE,Net migration,SM.POP.NETM,-1636,,,,,,,,
Morocco,MAR,Net migration,SM.POP.NETM,-91959,,,,,,,,
Mozambique,MOZ,Net migration,SM.POP.NETM,-17639,,,,,,,,
Myanmar,MMR,Net migration,SM.POP.NETM,-100810,,,,,,,,
Namibia,NAM,Net migration,SM.POP.NETM,-8596,,,,,,,,
Nauru,NRU,Net migration,SM.POP.NETM,-107,,,,,,,,
Nepal,NPL,Net migration,SM.POP.NETM,-70597,,,,,,,,
Netherlands,NLD,Net migration,SM.POP.NETM,60266,,,,,,,,
New Caledonia,NCL,Net migration,SM.POP.NETM,-2336,,,,,,,,
New Zealand,NZL,Net migration,SM.POP.NETM,103392,,,,,,,,
Nicaragua,NIC,Net migration,SM.POP.NETM,-19733,,,,,,,,
Niger,NER,Net migration,SM.POP.NETM,-15787,,,,,,,,
Nigeria,NGA,Net migration,SM.POP.NETM,-103989,,,,,,,,
North Macedonia,MKD,Net migration,SM.POP.NETM,-987,,,,,,,,
Northern Mariana Islands,MNP,Net migration,SM.POP.NETM,-806,,,,,,,,
Norway,NOR,Net migration,SM.POP.NETM,25564,,,,,,,,
Oman,OMN,Net migration,SM.POP.NETM,-106864,,,,,,,,
Pakistan,PAK,Net migration,SM.POP.NETM,-1177218,,,,,,,,
Palau,PLW,Net migration,SM.POP.NETM,8,,,,,,,,
Panama,PAN,Net migration,SM.POP.NETM,10623,,,,,,,,
Papua New Guinea,PNG,Net migration,SM.POP.NETM,22977,,,,,,,,
Paraguay,PRY,Net migration,SM.POP.NETM,-16270,,,,,,,,
Peru,PER,Net migration,SM.POP.NETM,136558,,,,,,,,
Philippines,PHL,Net migration,SM.POP.NETM,-24066,,,,,,,,
Poland,POL,Net migration,SM.POP.NETM,-2974,,,,,,,,
Portugal,PRT,Net migration,SM.POP.NETM,43656,,,,,,,,
Puerto Rico,PRI,Net migration,SM.POP.NETM,-16013,,,,,,,,
Qatar,QAT,Net migration,SM.POP.NETM,15493,,,,,,,,
Romania,ROU,Net migration,SM.POP.NETM,-25453,,,,,,,,
Russian Federation,RUS,Net migration,SM.POP.NETM,333509,,,,,,,,
Rwanda,RWA,Net migration,SM.POP.NETM,-11823,,,,,,,,
Samoa,WSM,Net migration,SM.POP.NETM,-2469,,,,,,,,
San Marino,SMR,Net migration,SM.POP.NETM,148,,,,,,,,
Sao Tome and Principe,STP,Net migration,SM.POP.NETM,-1718,,,,,,,,
Saudi Arabia,SAU,Net migration,SM.POP.NETM,241172,,,,,,,,
Senegal,SEN,Net migration,SM.POP.NETM,-19973,,,,,,,,
Serbia,SRB,Net migration,SM.POP.NETM,489,,,,,,,,
Seychelles,SYC,Net migration,SM.POP.NETM,305,,,,,,,,
Sierra Leone,SLE,Net migration,SM.POP.NETM,-2238,,,,,,,,
Singapore,SGP,Net migration,SM.POP.NETM,40624,,,,,,,,
Sint Maarten (Dutch part),SXM,Net migration,SM.POP.NETM,540,,,,,,,,
Slovak Republic,SVK,Net migration,SM.POP.NETM,3378,,,,,,,,
Slovenia,SVN,Net migration,SM.POP.NETM,7427,,,,,,,,
Solomon Islands,SLB,Net migration,SM.POP.NETM,-1603,,,,,,,,
Somalia,SOM,Net migration,SM.POP.NETM,48055,,,,,,,,
South Africa,ZAF,Net migration,SM.POP.NETM,22728,,,,,,,,
South Sudan,SSD,Net migration,SM.POP.NETM,2048,,,,,,,,
Spain,ESP,Net migration,SM.POP.NETM,458942,,,,,,,,
Sri Lanka,LKA,Net migration,SM.POP.NETM,-94897,,,,,,,,
St. Kitts and Nevis,KNA,Net migration,SM.POP.NETM,-191,,,,,,,,
St. Lucia,LCA,Net migration,SM.POP.NETM,0,,,,,,,,
St. Martin (French part),MAF,Net migration,SM.POP.NETM,-949,,,,,,,,
St. Vincent and the Grenadines,VCT,Net migration,SM.POP.NETM,-758,,,,,,,,
Sudan,SDN,Net migration,SM.POP.NETM,-29450,,,,,,,,
Suriname,SUR,Net migration,SM.POP.NETM,203,,,,,,,,
Sweden,SWE,Net migration,SM.POP.NETM,81585,,,,,,,,
Switzerland,CHE,Net migration,SM.POP.NETM,43546,,,,,,,,
Syrian Arab Republic,SYR,Net migration,SM.POP.NETM,500572,,,,,,,,
Tajikistan,TJK,Net migration,SM.POP.NETM,-7192,,,,,,,,
Tanzania,TZA,Net migration,SM.POP.NETM,-64819,,,,,,,,
Thailand,THA,Net migration,SM.POP.NETM,3758,,,,,,,,
Timor-Leste,TLS,Net migration,SM.POP.NETM,-5265,,,,,,,,
Togo,TGO,Net migration,SM.POP.NETM,-1997,,,,,,,,
Tonga,TON,Net migration,SM.POP.NETM,-1898,,,,,,,,
Trinidad and Tobago,TTO,Net migration,SM.POP.NETM,-19248,,,,,,,,
Tunisia,TUN,Net migration,SM.POP.NETM,-19609,,,,,,,,
Turkiye,TUR,Net migration,SM.POP.NETM,-218341,,,,,,,,
Turkmenistan,TKM,Net migration,SM.POP.NETM,-9612,,,,,,,,
Turks and Caicos Islands,TCA,Net migration,SM.POP.NETM,1358,,,,,,,,
Tuvalu,TUV,Net migration,SM.POP.NETM,-57,,,,,,,,
Uganda,UGA,Net migration,SM.POP.NETM,107203,,,,,,,,
Ukraine,UKR,Net migration,SM.POP.NETM,-7812,,,,,,,,
United Arab Emirates,ARE,Net migration,SM.POP.NETM,-4466,,,,,,,,
United Kingdom,GBR,Net migration,SM.POP.NETM,221179,,,,,,,,
United States,USA,Net migration,SM.POP.NETM,1158444,,,,,,,,
Uruguay,URY,Net migration,SM.POP.NETM,-2902,,,,,,,,
Uzbekistan,UZB,Net migration,SM.POP.NETM,-69397,,,,,,,,
Vanuatu,VUT,Net migration,SM.POP.NETM,-403,,,,,,,,
"Venezuela, RB",VEN,Net migration,SM.POP.NETM,-976460,,,,,,,,
Viet Nam,VNM,Net migration,SM.POP.NETM,-4028,,,,,,,,
Virgin Islands (U.S.),VIR,Net migration,SM.POP.NETM,-458,,,,,,,,
West Bank and Gaza,PSE,Net migration,SM.POP.NETM,-24737,,,,,,,,
"Yemen, Rep.",YEM,Net migration,SM.POP.NETM,-39769,,,,,,,,
Zambia,ZMB,Net migration,SM.POP.NETM,18019,,,,,,,,
Zimbabwe,ZWE,Net migration,SM.POP.NETM,-59918,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,
Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,License URL
SM.POP.NETM,CC BY-4.0,Net migration,"Net migration is the number of immigrants minus the number of emigrants, including citizens and noncitizens.","Net migration is the net total of migrants during the period, that is, the number of immigrants minus the number of emigrants, including both citizens and noncitizens.",United Nations Population Division. World Population Prospects: 2022 Revision.,Social Protection & Labor: Migration,Annual,Sum,"The United Nations Population Division provides data on net migration and migrant stock. Because data on migrant stock is difficult for countries to collect, the United Nations Population Division takes into account the past migration history of a country or area, the migration policy of a country, and the influx of refugees in recent periods when deriving estimates of net migration. The data to calculate these estimates come from a variety of sources, including border statistics, administrative records, surveys, and censuses.

When there is insufficient data, net migration is derived through the difference between the overall population growth rate and the rate of natural increase (the difference between the birth rate and the death rate) during the same period. Such calculations are usually made for intercensal periods. The estimates are also derived from the data on foreign-born population - people who have residence in one country but were born in another country. When data on the foreign-born population are not available, data on foreign population - that is, people who are citizens of a country other than the country in which they reside - are used as estimates.","Movement of people, most often through migration, is a significant part of global integration. Migrants contribute to the economies of both their host country and their country of origin. Yet reliable statistics on migration are difficult to collect and are often incomplete, making international comparisons a challenge.

Global migration patterns have become increasingly complex in modern times, involving not just refugees, but also millions of economic migrants. In most developed countries, refugees are admitted for resettlement and are routinely included in population counts by censuses or population registers.

But refugees and migrants, even if they often travel in the same way, are fundamentally different, and for that reason are treated very differently under modern international law. Migrants, especially economic migrants, choose to move in order to improve the future prospects of themselves and their families. Refugees have to move if they are to save their lives or preserve their freedom.","International migration is the component of population change most difficult to measure and estimate reliably. Thus, the quality and quantity of the data used in the estimation and projection of net migration varies considerably by country. Furthermore, the movement of people across international boundaries, which is very often a response to changing socio-economic, political and environmental forces, is subject to a great deal of volatility. Refugee movements, for instance, may involve large numbers of people moving across boundaries in a short time. For these reasons, projections of future international migration levels are the least robust part of current population projections and reflect mainly a continuation of recent levels and trends in net migration.",https://datacatalog.worldbank.org/public-licenses#cc-by
